Seg_# ; Arr_time ; Del_Time  ;Stall_Dur  ;Rep_Level  ;Del_Rate  ;Act_Rate  ;Byte_Size  ;uff_Level  ;RTT       ;Codec  ; Width  ; Height  ; FPS   ;Seg_Dur ;  Start ; P.1203 QoE	
    1 ;    13111 ;    13111  ; 0.000000  ;      237  ;     188  ;     308  ;   308446  ;    8.000  ;0005.253  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;   0.000;1.87753
    2 ;    28059 ;     9694  ; 0.000000  ;      237  ;     184  ;     223  ;   223794  ;   16.000  ;0007.775  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;   8.000;1.87753
    3 ;    43462 ;     7626  ; 0.000000  ;      237  ;     214  ;     204  ;   204473  ;   16.373  ;0005.263  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  16.000;1.87753
    4 ;    55973 ;     7246  ; 0.000000  ;      237  ;     187  ;     169  ;   169501  ;   17.127  ;0010.307  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  24.000;1.87753
    5 ;    76672 ;    10392  ; 0.000000  ;      237  ;     217  ;     281  ;   281896  ;   14.735  ;0014.731  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  32.000;1.88460
    6 ;   106871 ;    15466  ; 0.731000  ;      237  ;     195  ;     377  ;   377136  ;    8.000  ;0009.652  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  40.731;1.88648
    7 ;   127230 ;    10706  ; 2.706000  ;      237  ;     219  ;     294  ;   294127  ;    8.000  ;0005.580  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  51.437;1.80751
    8 ;   141978 ;     9167  ; 1.167000  ;      237  ;     187  ;     215  ;   215368  ;    8.000  ;0005.557  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  60.604;1.72897
    9 ;   157914 ;    10378  ; 2.378000  ;      237  ;     123  ;     160  ;   160539  ;    8.000  ;0009.417  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  70.982;1.68071
   10 ;   172717 ;     5384  ; 0.000000  ;      237  ;     199  ;     134  ;   134409  ;   10.615  ;0004.751  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  78.982;1.62213
   11 ;   186494 ;     9025  ; 0.000000  ;      237  ;     130  ;     147  ;   147592  ;    9.590  ;0014.476  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  86.982;1.62856
   12 ;   207469 ;     6498  ; 0.000000  ;      237  ;     135  ;     110  ;   110477  ;   11.091  ;0005.413  ;h264   ; 320    ; 180     ; 24    ; 8.000  ;  94.982;1.63257
   13 ;   224121 ;    11237  ; 0.145000  ;      237  ;      78  ;     110  ;   110374  ;    8.000  ;0008.420  ;h264   ; 320    ; 180     ; 24    ; 8.000  ; 103.127;1.63523
   14 ;   253138 ;    20596  ;12.596000  ;      237  ;     175  ;     451  ;   451486  ;    8.000  ;0003.487  ;h264   ; 320    ; 180     ; 24    ; 8.000  ; 123.723;1.59525
   15 ;   264366 ;     7739  ; 0.000000  ;      237  ;     286  ;     277  ;   277319  ;    8.261  ;0015.332  ;h264   ; 320    ; 180     ; 24    ; 8.000  ; 131.723;1.59271

